childid,mhhinco_1992,mhhinco_1993,mhhinco_1994,mhhinco_1996,mhhinco_1998,mhhinco_2000,mhhinco_2002,mhhinco_2004,mhhinco_2006,mhhinco_2008,mhhinco_2010,mhhinco_2012,mhhinco_2014,mhhinco_2016,mhhinco_2018,mhhinco_1982,mhhinco_1983,mhhinco_1984,mhhinco_1985,mhhinco_1986,mhhinco_1987,mhhinco_1988,mhhinco_1989,mhhinco_1990,mhhinco_1991,mhhinco_1981,mhhinco_1979,mhhinco_1980
948201,,,,,,,,,,,,,,,,D,9308,11493,10248,9972,9264,6916,9540,16664,,I,I,I
948202,,,,,,,,,,,,,,,,D,9308,11493,10248,9972,9264,6916,9540,16664,,I,I,I
948203,,,,,,,,,,,,,,,,D,9308,11493,10248,9972,9264,6916,9540,16664,,I,,I
948301,8360,37400,24000,42000,35030,35100,75100,68000,E,E,E,E,E,E,E,,,,,,16000,15645,20585,14675,15000,,,
948302,8360,37400,24000,42000,35030,35100,75100,68000,96000,E,E,E,E,E,E,,,,,,,,,14675,15000,,,
948501,23030,25530,D,D,D,,,E,E,E,E,E,E,E,,20725,24020,,,13560,25044,15460,21468,22509,25016,I,,
948502,23030,25530,D,D,D,,,E,E,E,E,E,E,E,,,24020,,,13560,25044,15460,21468,22509,25016,,,
948503,23030,25530,D,D,D,,,E,E,E,E,E,E,E,,,,,,13560,25044,15460,21468,22509,25016,,,
948504,23030,25530,D,D,D,,,R,E,E,E,E,E,E,,,,,,13560,25044,15460,21468,22509,25016,,,
948701,34900,34450,38000,51000,27000,D,,E,E,E,E,,,,,D,19400,26200,D,D,D,D,D,45400,39500,,,
948702,34900,34450,38000,51000,27000,D,,35000,E,E,E,,,,,,,,,,D,D,D,45400,39500,,,
948801,,,,,,,,,,,,,,,,21368,2335,24000,D,33850,35200,D,41155,42200,,,,
948802,,,,,,,,,,,,,,,,,,24000,D,33850,35200,D,41155,42200,,,,
948803,,,,,,,,,,,,,,,,,,,D,33850,35200,D,41155,42200,,,,
949201,,,,,,,,,,,,,,,,,12269,8374,10900,17065,18316,23590,31000,24975,,,,
949202,,,,,,,,,,,,,,,,,,8374,10900,17065,18316,23590,31000,24975,,,,
949601,D,42200,99440,,,,,,,,,,,,,,,,,,,D,26000,D,43200,,,
949602,D,42200,99440,,,,,,,,,,,,,,,,,,,,,,43200,,,
949603,,42200,99440,,,,,,,,,,,,,,,,,,,,,,,,,
949701,,,,,,,,,,,,,,,,,,,,,D,47640,D,D,,,,
949702,,,,,,,,,,,,,,,,,,,,,,47640,D,D,,,,
949801,,,,,,,,,,,,,,,,3020,2259,8821,D,9676,10000,14000,13000,19260,,I,D,10056
949802,,,,,,,,,,,,,,,,3020,2259,8821,D,9676,10000,14000,13000,19260,,I,D,10056
949803,,,,,,,,,,,,,,,,3020,2259,8821,D,9676,10000,14000,13000,19260,,,,
949804,,,,,,,,,,,,,,,,,,8821,D,9676,10000,14000,13000,19260,,,,
949805,,,,,,,,,,,,,,,,,,,,,,14000,13000,19260,,,,
949901,,,,,,,,,,,,,,,,4656,D,7988,6856,5412,D,12236,8058,D,,I,4440,4528
949902,,,,,,,,,,,,,,,,4656,D,7988,6856,5412,D,12236,8058,D,,I,4440,4528
949903,,,,,,,,,,,,,,,,4656,D,7988,6856,5412,D,12236,8058,D,,I,,
949904,,,,,,,,,,,,,,,,4656,D,7988,6856,5412,D,12236,8058,D,,,,
949905,,,,,,,,,,,,,,,,,,7988,6856,5412,D,12236,8058,D,,,,
949906,,,,,,,,,,,,,,,,,,,,5412,D,12236,8058,D,,,,
949907,,,,,,,,,,,,,,,,,,,,,D,12236,8058,D,,,,
950101,,,,,,,,,,,,,,,,18050,13900,16050,23000,19000,22000,18060,25000,42000,,15000,,6560
950401,,,,,,,,57400,93000,35000,92000,62000,69300,50400,71000,,,,,,,,,,,,,
950701,,,,,,,,,,,,,,,,,25250,28540,28000,35000,35000,35000,44050,45025,,,,
950702,,,,,,,,,,,,,,,,,,,,35000,35000,35000,44050,45025,,,,
950703,,,,,,,,,,,,,,,,,,,,,,35000,44050,45025,,,,
951001,,,,,,,,,,,,,,,,4236,15000,16600,744,3402,D,15400,4000,D,,10246,,
951201,25108,D,D,30955,,80000,,,E,E,E,E,E,E,E,,43400,5551,8477,42736,D,48620,50009,20320,D,,,
951202,,D,D,30955,,80000,,,131650,40701,D,E,E,E,E,,,,,,,,,,,,,
951501,,,,,,,,,,,,,,,,5134,5316,5364,D,6180,I,7116,7368,7259,,4788,3120,3756
951502,,,,,,,,,,,,,,,,5134,5316,5364,D,6180,I,7116,7368,7259,,4788,3120,3756
951503,,,,,,,,,,,,,,,,,,,D,6180,I,7116,7368,7259,,,,
951601,I,D,D,D,D,E,E,E,E,E,E,E,E,E,E,8031,D,2821,9100,7212,7224,36804,71784,32000,40000,4616,,4572
951602,I,D,D,D,D,E,E,E,E,E,E,E,E,E,E,8031,D,2821,9100,7212,7224,36804,71784,32000,40000,,,
951603,I,D,D,D,D,0,E,E,E,E,E,E,E,E,E,8031,D,2821,9100,7212,7224,36804,71784,32000,40000,,,
951604,I,D,D,D,D,0,60000,E,E,E,E,E,E,E,E,,,2821,9100,7212,7224,36804,71784,32000,40000,,,
951605,I,D,D,D,D,0,60000,D,E,E,E,E,E,E,E,,,,,7212,7224,36804,71784,32000,40000,,,
951701,11000,8700,8140,E,E,E,E,E,,E,E,E,E,E,E,2300,23024,D,5472,10116,8710,8396,7424,21650,4200,14450,11353,12750
951702,11000,8700,8140,7400,E,E,E,E,,E,E,E,E,E,E,2300,23024,D,5472,10116,8710,8396,7424,21650,4200,14450,11353,12750
952101,7488,7512,9276,E,E,E,E,E,E,E,E,E,E,E,E,3660,4532,3780,4296,4584,4548,4944,6243,8508,7260,3468,10000,3480
